none,en-us,hi-in,th-th,zh-cn,zh-hk,vi-vn,id-id,in-telugu,in-marathi,pt-pt,es-es
UI.PromotionLastMonth,Last Month,पिछले महीने,เดือนที่แล้ว,Last Month,上個月,Tháng trước,Bulan lalu,Last Month,Last Month,Mês passado,El mes pasado
UI.PromotionDirectCommission,Direct Commission,प्रत्यक्ष आयोग,ค่าคอมมิชชั่นโดยตรง,Direct Commission,直接佣金,Hoa hồng trực tiếp,Komisi langsung,Direct Commission,Direct Commission,Comissão direta,Comisión Directa
UI.PromotionNumBerofTeam,Number of Team members,टीम के सदस्यों की संख्या,จำนวนสมาชิกในทีม,Number of Team members,團隊成員數量,Số thành viên trong nhóm,Jumlah anggota tim,Number of Team members,Number of Team members,Número de membros da equipe,Número de miembros del equipo
UI.PromotionNumCWithdrawal,Commission Withdrawal,कमीशन वापसी,การถอนเงินค่าคอมมิชชัน,Commission Withdrawal,佣金提款,Rút tiền hoa hồng,Penarikan komisi,Commission Withdrawal,Commission Withdrawal,Retirada da Comissão,Retiro de comisiones
UI.PromotionCommissionTransfer,Commission Transfer,कमीशन ट्रांसफर,การโอนย้ายค่าคอมมิชชั่น,Commission Transfer,佣金轉移,Chuyển tiền hoa hồng,Transfer Komisi,Commission Transfer,Commission Transfer,Transferência de Comissão,Transferencia de comisiones
UI.PromotionBettingCommission,Betting Commission,बेटिंग कमीशन,ค่าคอมมิชชั่นการเดิมพัน,Betting Commission,投注佣金,Hoa hồng đặt cược,Komisi taruhan,Betting Commission,Betting Commission,Comissão de apostas,Comisión de apuestas
UI.PromotionInvitationConquest,Invitation Conquest,आमंत्रण विजय,หีบสมบัติเชิญชวน,Invitation Conquest,邀請寶箱,Mời chinh phục,Penaklukan undangan,Invitation Conquest,Invitation Conquest,Conquista de convite,Invitación Conquista
UI.PromotionHint,The data is the value that increases during the time interval,डेटा वह मान है जो समय अंतराल के दौरान बढ़ता है,ข้อมูลคือค่าที่เพิ่มขึ้นตามช่วงห่างของเวลา,The data is the value that increases during the time interval,數據是在時間間隔內增加的值,Dữ liệu là giá trị tăng trong khoảng cách thời gian,Data adalah nilai yang meningkat selama interval waktu,The data is the value that increases during the time interval,The data is the value that increases during the time interval,Os dados são o valor que aumenta durante o intervalo de tempo,El dato es el valor que aumenta durante el intervalo de tiempo
UI.StoreSelectChannel,Select a channel,एक चैनल चुनें,เลือกช่องใดช่องหนึ่ง,Select a channel,選擇一個頻道,Chọn một kênh,Select a channel,Select a channel,Select a channel,Escolha um canal,Seleccione un canal
UI_SelectAPaymentMethod,Select a payment method,कोई भुगतान विधि चुनें,เลือกวิธีการจ่ายเงิน,Select a payment method,選擇付款方式,Chọn phương thức thanh toán,Pilih cara pembayaran,Select a payment method,Select a payment method,Escolha um método de pagamento,Seleccione un método de pago
Msg.GameError-1,Unknown Error,अज्ञात त्रुटि,ข้อผิดพลาดที่ไม่รู้จัก,Unknown Error,未知錯誤,Lỗi chưa xác định,Unknown Error,Unknown Error,Unknown Error,Erro desconhecido,Error desconocido
Msg.GameError2,"Network connection error, bet failed","नेटवर्क कनेक्शन त्रुटि,शर्त विफल रही",การเชื่อมต่อเครือข่ายเกิดข้อผิดพลาด การเดิมพันล้มเหลว,"Network connection error, bet failed",網絡連接錯誤，下注失敗,"Lỗi kết nối mạng, đặt cược không thành công","Kesalahan koneksi jaringan, taruhan gagal","Network connection error, bet failed","Network connection error, bet failed","Erro de conexão de rede, aposta falhou","Error de conexión de red, apuesta fallida"
Msg.GameError3,The bet amount cannot be 0.,शर्त राशि 0 नहीं हो सकती।,จำนวนเงินเดิมพันไม่สามารถเป็น 0 ได้,The bet amount cannot be 0.,投注金額不能為0。,Số tiền đặt cược không được bằng 0.,Jumlah taruhan tidak boleh 0.,The bet amount cannot be 0.,The bet amount cannot be 0.,O valor da aposta não pode ser 0.,El monto de la apuesta no puede ser 0.
Msg.GameError102,Your bet amount cannot be less than {S1} in this session,सत्र में {S1} से कम आपकी शर्त राशि नहीं हो सकती,จำนวนเดิมพันของคุณไม่สามารถน้อยกว่า {S1}ในวาระงานนี้,在这个场次，您的投注金额不能低于{S1},在这个场次，您的投注金額不能少於{S1},Số tiền đặt cược của bạn không thể nhỏ hơn {S1} trong phiên này,Taruhan anda jumlah tidak bisa kurang dari [] dalam sesi ini,ఈ సెషన్ లో మీ పందెం మొత్తం {S1} కంటే తక్కువగా ఉండరాదు,या सत्रात आपली सट्टा रक्कम {S1} पेक्षा कमी असू शकत नाही,O valor da sua aposta não pode ser inferior a {S1} nesta sessão,Su importe de apuesta no puede ser inferior a {S1} en esta sesión
Msg.GameError103,Your bet amount cannot be higher than {S1} in this session,आपकी शर्त राशि {S1} से अधिक इस सत्र में नहीं हो सकती,จำนวนเดิมพันของคุณไม่สามารถสูงกว่า {S1}ในวาระงานนี้,在这个场次，您的投注金额不能高于{S1},在这个场次，您的投注金額不能高於{S1},Số tiền đặt cược của ông không thể cao hơn {S1} trong phiên này,Taruhan anda jumlah tidak bisa lebih tinggi dari [] dalam sesi ini,ఈ సెషన్ లో మీ పందెం మొత్తం {S1} కంటే ఎక్కువగా ఉండరాదు,या सत्रात आपली सट्टा रक्कम {S1} पेक्षा जास्त असू शकत नाही,O valor da sua aposta não pode ser superior a {S1} nesta sessão,Su importe de apuesta no puede ser superior a {S1} en esta sesión
UI_Welcome,Welcome!,दसवां,ยินดีต้อนรับ!,Welcome!,歡迎！,Chào mừng!,Selamat datang!,Welcome!,Welcome!,Bem vinda!,¡Bienvenido!
UI_Support_1,You can always ask us anything about our platform or share your feedback,आप हमेशा हमसे हमारे मंच के बारे में कुछ भी पूछ सकते हैं या अपनी प्रतिक्रिया साझा कर सकते हैं,คุณสามารถสอบถามข้อมูลที่เกี่ยวกับแพลตฟอร์มของเราหรือแชร์ความคิดเห็นของคุรให้เราได้ตลอดเวลา,You can always ask us anything about our platform or share your feedback,您可以隨時向我們詢問有關我們平台的任何信息或分享您的反饋,Bạn có thể hỏi chúng tôi bất cứ điều gì về nền tảng bất kỳ lúc nào hoặc chia sẻ phản hồi của bạn,You can always ask us anything about our platform or share your feedback,You can always ask us anything about our platform or share your feedback,You can always ask us anything about our platform or share your feedback,Você sempre pode nos perguntar qualquer coisa sobre nossa plataforma ou compartilhar seus comentários,Siempre puede preguntarnos cualquier cosa sobre nuestra plataforma o compartir sus comentarios.
UI.AccountInfoVipCurrent,Current,मौजूदा,ปัจจุบัน,Current,當前的,Hiện tại,Current,Current,Current,Atual,Actual
UI_BonttomSignUp_V,Sign Up,साइन अप करा,ลงทะเบียน,Sign Up,註冊,Đăng ký,Daftar,సైన్ అప్ చేయండి,साइन अप,Inscreva-se,Inscribirse
UI_UIStore_Extra,Extra,अतिरिक्त,แถมเป็นพิเศษ,Extra,額外贈送,Thêm,Tambahan,Extra,Extra,Extra,Extra
UI_UIStore_NoPartPromotions,Not participating in and promoting sales activities,बिक्री गतिविधियों में भाग नहीं लेना और उन्हें बढ़ावा देना,ไม่ร่วมและไม่จัดกิจกรรมส่งเสริมการขาย,Not participating in and promoting sales activities,不參與和促進銷售活動,Không tham gia và quảng bá các hoạt động bán hàng,Tidak berpartisipasi dalam dan mempromosikan kegiatan penjualan,Not participating in and promoting sales activities,Not participating in and promoting sales activities,Não participar e promover atividades de vendas,No participar y promover actividades de ventas.
UI_Biggest_Today,Biggest Today,सबसे बड़ा आज,ที่ใหญ่ที่สุดของวันนี้,Biggest Today,今日最大,Lớn nhất hôm nay,Terbesar Hari Ini,Biggest Today,Biggest Today,Maior hoje,más grande hoy
UI_Latest_Rounds,Latest Record,नवीनतम रिकॉर्ड,งวดล่าสุด,Latest Rounds,最近几轮,Kỷ lục mới nhất,Rekor Terbaru,Latest Rounds,Latest Rounds,Último registro,Último registro
UI_Biggest,Winning Ranking,सबसे बड़ी,ตารางอันดับผู้ที่ชนะรางวัล,Biggest,獲獎排行榜,Thắng Xếp Hạng,Peringkat Kemenangan,Biggest,Biggest,O maior,Clasificación ganadora
UI_Support_EnterYourproblem,enter your problems here,यहां अपनी समस्याएं दर्ज करें,ใส่คำถามของคุณที่นี่,enter your problems here,在這裡輸入您的問題,nhập các vấn đề của bạn ở đây,masukkan masalahmu disini,enter your problems here,enter your problems here,insira seus problemas aqui,introduce aquí tus problemas
UI_Support_HelloPlease,Hello! Please click on the type of problem you are experiencing,नमस्ते! कृपया उस प्रकार की समस्या पर क्लिक करें जिसका आप सामना कर रहे हैं,สวัสดี! โปรดคลิกประเภทของปัญหาที่คุณพบ,Hello! Please click on the type of problem you are experiencing,你好！ 請點擊您遇到的問題類型,"Đây không phải là câu trả lời tôi muốn, hãy liên hệ với dịch vụ khách hàng.",Halo! Silakan klik pada jenis masalah yang Anda alami,Hello! Please click on the type of problem you are experiencing,Hello! Please click on the type of problem you are experiencing,"Olá!Por favor, clique no tipo de problema que você está enfrentando.",¡Hola! Haga clic en el tipo de problema que está experimentando
UI_Support_QuestionDetails,Question details,प्रश्न का विवरण,รายละเอียดคำถาม,Question details,問題詳情,Công tắc,Detail pertanyaan,Question details,Question details,Detalhes da pergunta,Detalles de la pregunta
UI_Support_ThisIsNotThe,"This is not the answer I want, contact customer service.","मुझे यह उत्तर नहीं चाहिए, ग्राहक सेवा से संपर्क करें।",นี่ไม่ใช่คำตอบที่ฉันต้องการ ติดต่อฝ่ายบริการลูกค้า,"This is not the answer I want, contact customer service.",這不是我要的答案，聯繫客服。,"Đây không phải là câu trả lời tôi muốn, hãy liên hệ với dịch vụ khách hàng.","Ini bukan jawaban yang saya inginkan, hubungi layanan pelanggan.","This is not the answer I want, contact customer service.","This is not the answer I want, contact customer service.",Entre em contato com o atendimento ao cliente humano.,"Esta no es la respuesta que quiero, comuníquese con el servicio al cliente."
UI_Switch,Switch,हार गए,ไพ่,Switch,牌,Công tắc,Kalah,కోల్పోయిన,Switch,Switch,Cambiar
UI_Support_SearchResults,Search results,खोज के परिणाम,การค้นหาผล,Search results,搜索結果,Vui lòng nhập vấn đề của bạn,Hasil Pencarian,Search results,Search results,Procurar Resultados,Resultados de la búsqueda
UI_Support_PleaseEnteryour,Please  enter your problems,कृपया अपनी समस्याएं दर्ज करें,กรุณาใส่คำถามของคุณ,Please  enter your problems,請輸入您的問題,Vui lòng nhập vấn đề của bạn,Silakan masukkan masalah Anda,Please  enter your problems,Please  enter your problems,"Por favor, insira seus problemas",Por favor ingrese sus problemas
UI_gameHintTip,Maintenance Period is from {st_time} To {end_time},रखरखाव अवधि से है {st_time} प्रति {end_time},ระยะเวลาการบำรุงรักษาคือตั้งแต่ {st_time} ถึง {end_time},Maintenance Period is from {st_time} To {end_time},維護期從 {st_time} 至 {end_time},Thời gian bảo trì là từ  đến,Masa Pemeliharaan adalah dari {st_time} Ke {end_time},Maintenance Period is from {st_time} To {end_time},Maintenance Period is from {st_time} To {end_time},Período de manutenção é de {st_time} Para {end_time},El período de mantenimiento es de {st_time} a {end_time}
UI_Support_HelpHint,"If you have any other questions, please contact customer service","यदि आपके कोई अन्य प्रश्न हैं, तो कृपया ग्राहक सेवा से संपर्क करें",หากคุณมีคำถามอื่นๆ โปรดติดต่อฝ่ายบริการลูกค้า,"If you have any other questions, please contact customer service",如有其他問題，請聯繫客服,"Nếu bạn có bất kỳ câu hỏi nào khác, vui lòng liên hệ CSKH","Jika Anda memiliki pertanyaan lain, silakan hubungi layanan pelanggan","If you have any other questions, please contact customer service","If you have any other questions, please contact customer service","Se você tiver quaisquer outras perguntas, entre em contato com o serviço ao cliente","Si tiene alguna otra pregunta, comuníquese con el servicio al cliente."
UI_BetBonus_Record,RECORD,अभिलेख,ประวัติ,Record,記錄,GHI,Catatan,Record,Record,Registro,Registro
UI_BetBonus_tit1,Bet bonus,बेट बोनस,โบนัสจากการเดิมพัน,Bet bonus,投注獎金,tiền thưởng cược,Bonus taruhan,Bet bonus,Bet bonus,Bônus de aposta,Apuesta bonus
UI_BetBonus_Receiving_records,Receiving records,अभिलेख प्राप्त करना,ประวัติการกดรับ,Receiving records,領取記錄,Tiếp nhận hồ sơ,Menerima record,Receiving records,Receiving records,Recebendo registros,Recibir registros
UI_Withdrawal_instructions,Withdrawal instructions,निकासी के निर्देश,คำแนะนำในการถอนเงิน,Withdrawal instructions,提款須知,lệnh rút tiền,Instruksi penarikan,Withdrawal instructions,Withdrawal instructions,Instruções de retirada,Instrucciones de retiro
UI_To_recharge,To recharge,रीचार्ज करने के लिए,เติมเงิน,To recharge,充值,NẠP,Untuk mengisi ulang,To recharge,To recharge,Para recarregar,Recargar
UI_SoldOut,Sold Out,बेट बोनस,โบนัสจากการเดิมพัน,Sold Out,投注獎金,Bán hết,Bonus taruhan,Sold Out,Sold Out,Sold Out,Agotado
UI_Come_again_tomorrow,Come again tomorrow,कल फिर आना,พรุ่งนี้ค่อยมาใหม่,Come again tomorrow,明天再來,Lại đến vào ngày mai,Datang lagi besok,Come again tomorrow,Come again tomorrow,Volte amanhã,Ven de nuevo mañana
UI_Rechargetip1,Please select the recharge amount,बेट बोनस,โบนัสจากการเดิมพัน,Please select the recharge amount,投注獎金,Vui lòng chọn số tiền nạp,Bonus taruhan,Please select the recharge amount,Please select the recharge amount,Please select the recharge amount,Por favor seleccione el monto de la recarga
UI_Rechargetip2,Event has ended,बेट बोनस,โบนัสจากการเดิมพัน,Event has ended,投注獎金,Sự kiện đã kết thúc,Bonus taruhan,Event has ended,Event has ended,Event has ended,El evento ha terminado
UI_RoomList1,Type Selection,प्रकार चयन,การเลือกประเภท,Type Selection,類型選擇,Lựa chọn loại,Type Selection,Type Selection,Type Selection,Selecção de Tipo,Selección de tipo
UI_RoomList2,Point Value,बिन्दु मान,มูลค่าจุด,Point Value,點值,Cuộc thi đấu,Point Value,Point Value,Point Value,Valor do Ponto,valor de punto
UI_RoomList_Match,Match,मिलाएँ,จับคู่,Match,匹配,Cuộc thi đấu,Match,Match,Match,Corresponder,Fósforo
UI_RoomList_MatchTotalPonit,Total Point,Total Point,คะแนนรวม,Total Point,總分,Rời khỏi trò chơi sẽ được coi là thua và số tiền đặt cược sẽ bị mất. Bạn có chắc chắn rời khỏi không?,Total Point,Total Point,Total Point,Total Point,Punto Total
UI_RoomList_MatchLeave,"Leaving the game will be judged to lose,and the bet amount will be lost.Are you sure to leave?","Leaving the game will be judged to lose,and the bet amount will be lost.Are you sure to leave?",การออกจากเกมจะถือว่าแพ้ และจะเสียเงินเดิมพันด้วย คุณแน่ใจว่าต้องการออกจากเกมหรือไม่,"Leaving the game will be judged to lose,and the bet amount will be lost.Are you sure to leave?",離開遊戲將被判定為輸，投注金額將被輸掉。您確定要離開嗎？,Rời khỏi trò chơi sẽ được coi là thua và số tiền đặt cược sẽ bị mất. Bạn có chắc chắn rời khỏi không?,"Leaving the game will be judged to lose,and the bet amount will be lost.Are you sure to leave?","Leaving the game will be judged to lose,and the bet amount will be lost.Are you sure to leave?","Leaving the game will be judged to lose,and the bet amount will be lost.Are you sure to leave?","Leaving the game will be judged to lose,and the bet amount will be lost.Are you sure to leave?","Si abandona el juego, se considerará que pierde y el monto de la apuesta se perderá. ¿Está seguro de que desea irse?"
UI_RoomList_MatchTip,You have been eliminated from the game.,You have been eliminated from the game.,คุณถูกคัดออกจากเกมแล้ว,You have been eliminated from the game.,你已被淘汰出局。,Bạn đã bị loại khỏi cuộc chơi.,You have been eliminated from the game.,You have been eliminated from the game.,You have been eliminated from the game.,You have been eliminated from the game.,Has sido eliminado del juego.
UI_RoomList_Single,Single,एकल,โสด,Single,單身的,Đơn,Single,Single,Single,Solteiro,Soltero
UI_RoomList_101Pool,101 Pool,101 Pool,สระว่ายน้ำ 101,101 Pool,101泳池,101 hồ bơi,101 Pool,101 Pool,101 Pool,101 Pool,101 piscina
UI_RoomList_201Pool,201 Pool,201 Pool,สระว่ายน้ำ 201,201 Pool,201泳池,hồ bơi 201,201 Pool,201 Pool,201 Pool,201 Pool,201 piscina
UI_RoomList_Bestof2,Best of 2,Best of 2,2 ที่ดีที่สุด,Best of 2,最好的 2,Tốt nhất trong số 2,Best of 2,Best of 2,Best of 2,Best of 2,Lo mejor de 2
UI_RoomList_Bestof3,Best of 3,Best of 3,3 ที่ดีที่สุด,Best of 3,最好的 3,Tốt nhất trong 3 lựa chọn,Best of 3,Best of 3,Best of 3,Best of 3,Mejor de 3
UI_RoomList_MinEntry,Entry,प्रवेश,รายการ,Min Entry,條目,Lối vào,Min Entry,Min Entry,Min Entry,Entrada,Entrada
UI_RoomList_PointValue,Point Value,बिन्दु मान,มูลค่าจุด,Point Value,點值,Sẵn sàng,Point Value,Point Value,Point Value,Valor do Ponto,valor de punto
UI_CancelHosting,Cancel Hosting,होस्टिंग रद्द करें,ยกเลิกโฮสต์,Cancel Hosting,取消託管,Hủy lưu trữ,Cancel Hosting,Cancel Hosting,Cancel Hosting,Cancelar hospedagem,Cancelar alojamiento
UI_Store_WithBonus,With bonus,बोनस के साथ,มีเงินโบนัส,With bonus,有獎金,với tiền thưởng,Dengan bonus,With bonus,With bonus,Com bônus,con bono
UI_Wheel_Lottery,SPIN,घुमाना,สปิน,SPIN,旋轉,QUAY,PUTARAN,స్పిన్,स्पिन,RODAR,GIRAR
UI_Wheel_MyRewards,My rewards,मेरे पुरस्कार,รางวัลของฉัน,My rewards,我的獎勵,Giải thưởng của tôi,Hadiahku,నా రివార్డులు,माझे बक्षिसे,Minhas recompensas,Mi recompensa
UI_Wheel_Back,Back to spin,स्पिन पर वापस जाएँ,กลับไปหมุน,Back to spin,返迴旋轉,Quay lại để quay,Kembali berputar,తిరిగి స్పిన్‌కి,फिरकीकडे परत,Voltar para girar,Volver a girar
UI_Email_ExpiresDay,Expires in S{Day} days,S{Day} दिनों में समाप्त हो जाता है,S{Day} วันหมดอายุ,Expires in S{Day} days,S{Day} 天后到期,Hết hạn sau S{Day} ngày,Berakhir dalam S{Day} hari,Expires in S{Day} days,Expires in S{Day} days,Expira em S{Day} dias,Caduca en S{Day} días
UI_Hall_LobbyLabel,Lobby,लॉबी,ล็อบบี้,Lobby,大厅,Sảnh,Lobi,లాబీ,लॉबी,Salão,Vestíbulo
UI_Hall_FavoriteLabel,Favorite,पसंदीदा,ที่ชื่นชอบ,Favorite,最喜歡的,Yêu thích,Favorit,ఇష్టమైన,आवडते,Favorito,Favorito
UI_Vip_DaysLater,Days later,दिनों के बाद,ไม่กี่วันต่อมา,days later,数日后,ngày sau,Hari kemudian,days later,days later,Dias depois,Días después
UI_Vip_USDT_Fee,USDT withdraw fee,यूएसडीटी शुल्क वापस ले लें,ค่าธรรมเนียมการถอนเงินยูเอสดีที,USDT withdraw fee,USDT提現費,USDT Rút phí,Biaya mundur USDT,యూఎస్ డీటీ విత్ డ్రా ఫీజు,यूएसडीटी पैसे काढण्याचे शुल्क,Taxa de retirada USDT,Tasa de retiro de USDT
UI_Vip_USDT_Daily,USDT daily withdrawals,USDT दैनिक निकासी,การถอนยูเอสดีทีทุกวัน,USDT daily withdrawals,USDT每日提款次数,USDT Daily Rút lui,Penarikan harian USDT, డాలర్ల రోజువారీ ఉపసంహరణలు,यूएसडी दररोज पैसे काढणे,Saques diários USDT,Los retiros diarios del USDT
UI_Vip_USDT_Limit,USDT single withdrawal limit,USDT एकल वापसी की सीमा ,USDT การถอนเดี่ยว จำกัด,USDT single withdrawal limit,USDT單次提款限額,USDT Single withdrawal limit  Phương tiện liên quan tới USDT,Batas penarikan tunggal USDT,యూఎస్ డీటీ సింగిల్ విత్ డ్రా లిమిట్,यूएसडीटी एकल पैसे काढण्याची मर्यादा,Limite de retirada única USDT,Límite único de retirada de USDT
UI_Vip_USDT_Linit,USDT daily withdrawal limit,यूएसडीटी दैनिक निकासी सीमा,ขีดจำกัดการถอน USDT รายวัน,USDT daily withdrawal limit,USDT 每日提款限額,Giới hạn rút USDT hàng ngày,Batas penarikan harian USDT,USDT రోజువారీ ఉపసంహరణ పరిమితి,USDT दैनिक पैसे काढण्याची मर्यादा,Limite diário de retirada do USDT,Límite de retiro diario de USDT
UI_PlayerInfo_ServiceAndSupport,Service / support,सेवा / समर्थन,บริการ/สนับสนุน,Service / support,服务 / 支持,Dịch vụ / hỗ trợ,Layanan/dukungan,Service / support,Service / support,Serviço / suporte,Servicio de ayuda
UI_Support_sendmessage,Send us a message,हमें एक संदेश भेजें,ส่งข้อความถึงเรา,Send us a message,給我們發信息,Gửi tin nhắn cho chúng tôi,Kirimi kami pesan,Send us a message,Send us a message,Envie-nos uma mensagem,Mandanos un mensaje
UI_Support_Manual,Manual customer service,मैनुअल ग्राहक मैनुअल ग्राहक सेवा,ฝ่ายบริการลูกค้า,Manual customer service,人工客服,Dịch vụ khách hàng con người,Pelanggan manual Layanan pelanggan manual,Manual customer service,Manual customer service,Atendimento manual ao cliente,Atención al cliente manual
Sc_Error_Youroperationfrequent,Your operation is too frequent.,आपका ऑपरेशन बहुत बार-बार होता है।,คุณดำเนินงานบ่อยเกินไป,Your operation is too frequent.,你的操作太頻繁了。,Hoạt động của bạn là quá thường xuyên.,Operasimu terlalu sering.,Your operation is too frequent.,Your operation is too frequent.,Sua operação é muito frequente.,Your operation is too frequent.
Sc_Successfully_modified,Successfully modified,सफलतापूर्वक संशोधित,แก้ไขเรียบร้อยแล้ว,Successfully modified,修改成功,sửa đổi thành công,Berhasil diubah,Successfully modified,Successfully modified,Successfully modified,Modificado con éxito
UI_Daily_quests,DAILY QUESTS,दैनिक खोज,ภารกิจประจำวัน,Daily quests,每日任务,CÂU HỎI HÀNG NGÀY,Quest harian,Daily quests,Daily quests,Quests diárias,Daily quests
UI_Mission_description,Don't forget to claim bonus by completing daily quests. Daily quests will be reset daily at 00:00.,दैनिक अन्वेषणों को पूरा करके बोनस का दावा करना न भूलें। दैनिक खोज प्रतिदिन 00:00 बजे रीसेट की जाएगी।,อย่าลืมรับโบนัสโดยทำภารกิจประจำวันให้สำเร็จ ภารกิจประจำวันจะรีเซ็ตเวลา 00:00 น. ของทุกวัน,Don't forget to claim bonus by completing daily quests. Daily quests will be reset daily at 00:00.,不要忘記通過完成日常任務來領取獎金。每日任務將在每天 00:00 重置。,Đừng quên nhận tiền thưởng bằng cách hoàn thành các nhiệm vụ hàng ngày. Nhiệm vụ hàng ngày sẽ được đặt lại hàng ngày vào lúc 00:00.,Jangan lupa untuk mengklaim bonus dengan menyelesaikan misi harian. Quest harian akan direset setiap hari pada pukul 00:00.,Don't forget to claim bonus by completing daily quests. Daily quests will be reset daily at 00:00.,Don't forget to claim bonus by completing daily quests. Daily quests will be reset daily at 00:00.,Não se esqueça de reivindicar bônus completando missões diárias. As missões diárias serão redefinidas diariamente às 00:00.,No olvide reclamar la bonificación completando misiones diarias. Las misiones diarias se restablecerán diariamente a las 00:00.
UI_Achievements,ACHIEVEMENTS,उपलब्धियों,ความสำเร็จ,Achievements,成就,Thành tựu,Pencapaian,Achievements,Achievements,Realizações,Achievements
UI_SlotGame_ChooseAnother,Choose another payment account,जाना,Choose another payment account,Choose another payment account,Choose another payment account,Chọn một tài khoản thanh toán khác,Choose another payment account,Choose another payment account,Choose another payment account,Choose another payment account,Choose another payment account
UI_RealNameAndSurname,Real name and surname,Real name and surname,ชื่อจริงและนามสกุลจริง,Real name and surname,Real name and surname,Họ và Tên thật,Real name and surname,Real name and surname,Real name and surname,Real name and surname,Real name and surname
UI_BankBranch,Bank branch,Bank branch,สาขาธนาคาร,Bank branch,Bank branch,Chi nhánh ngân hàng,Bank branch,Bank branch,Bank branch,Bank branch,Bank branch
UI_BankInformation,BankInformation,BankInformation,ข้อมูลธนาคาร,BankInformation,BankInformation,Thông tin ngân hàng,BankInformation,BankInformation,BankInformation,BankInformation,BankInformation
UI_ViPay_Bank,Bank,Bank,ธนาคาร,Bank,Bank,Ngân hàng,Bank,Bank,Bank,Bank,Bank
UI_AccountNumber,Account number,Account number,บัญชี,Account number,Account number,Số tài khoản,Account number,Account number,Account number,Account number,Account number
UI_SlotGame_RechargeAmount,The recharge amount is not less than,The recharge amount is not less than,จำนวนเงินที่เติมไม่ต่ำกว่า,The recharge amount is not less than,The recharge amount is not less than,Số tiền nạp phải lớn hơn:,The recharge amount is not less than,The recharge amount is not less than,The recharge amount is not less than,The recharge amount is not less than,The recharge amount is not less than
UI_Cash_USDT_Encryptedaccount_1,Encrypted account,एन्क्रिप्टेड खाता,บัญชีที่เข้ารหัส,Encrypted account,加密賬戶,Tài khoản được mã hóa,Akun terenkripsi,Encrypted account,Encrypted account,Conta criptografada,Cuenta encriptada
UI_ViPay_MinimumDepositLimit,Minimum deposit limit,Minimum deposit limit,วงเงินฝากขั้นต่ำ,Minimum deposit limit,Minimum deposit limit,Giới hạn nạp tối thiểu,Minimum deposit limit,Minimum deposit limit,Minimum deposit limit,Minimum deposit limit,Minimum deposit limit
UI_ViPay_Please,Please fill in the deposit amount,Please fill in the deposit amount,โปรดใส่จำนวนเงินฝาก,Please fill in the deposit amount,Please fill in the deposit amount,Vui lòng điền vào số tiền gửi,Please fill in the deposit amount,Please fill in the deposit amount,Please fill in the deposit amount,Please fill in the deposit amount,Please fill in the deposit amount
UI_ViPay_Deposit,Deposit amount must be over,Deposit amount must be over,จำนวนเงินฝากต้องเกิน,Deposit amount must be over,Deposit amount must be over,Số tiền gửi phải trên,Deposit amount must be over,Deposit amount must be over,Deposit amount must be over,Deposit amount must be over,Deposit amount must be over
UI_ViPay_PleaseBank,Please select your bank,Please select your bank,กรุณาเลือกธนาคารของคุณ,Please select your bank,Please select your bank,vui lòng chọn ngân hàng,Please select your bank,Please select your bank,Please select your bank,Please select your bank,Please select your bank
UI_ViPay_InReturn,Deposit amount should be {gold} in return,Deposit amount should be {gold} in return,จำนวนเงินฝากควรเป็น {gold} เป็นการตอบแทน,Deposit amount should be {gold} in return,Deposit amount should be {gold} in return,Số tiền gửi phải là {gold} đổi lại,Deposit amount should be {gold} in return,Deposit amount should be {gold} in return,Deposit amount should be {gold} in return,Deposit amount should be {gold} in return,Deposit amount should be {gold} in return
UI_ViPay_Actual,Actual deposit amount：,Actual deposit amount：,จำนวนเงินฝากจริง:,Actual deposit amount：,Actual deposit amount：,Số tiền gửi thực tế：,Actual deposit amount：,Actual deposit amount：,Actual deposit amount：,Actual deposit amount：,Actual deposit amount：
UI_ViPay_ProcedureFee,procedure fee：,procedure fee：,ค่าธรรมเนียม:,procedure fee：,procedure fee：,phí thủ tục：,procedure fee：,procedure fee：,procedure fee：,procedure fee：,procedure fee：
UI_ViPay_PleaseAmount,Please enter the amount,Please enter the amount,กรุณากรอกจำนวนเงิน,Please enter the amount,Please enter the amount,Vui lòng nhập số tiền,Please enter the amount,Please enter the amount,Please enter the amount,Please enter the amount,Please enter the amount
UI_ViPay_EGCity,eg: Ho Chi Minh City,eg: Ho Chi Minh City,ตัวอย่าง: นครโฮจิมินห์,eg: Ho Chi Minh City,eg: Ho Chi Minh City,ví dụ : thành phố hồ chí minh,eg: Ho Chi Minh City,eg: Ho Chi Minh City,eg: Ho Chi Minh City,eg: Ho Chi Minh City,eg: Ho Chi Minh City
UI_ViPay_EGNum,eg: 62271234123412341234,eg: 62271234123412341234,ตัวอย่างเช่น: 62271234123412341234,eg: 62271234123412341234,eg: 62271234123412341234,ví dụ : 62271234123412341234,eg: 62271234123412341234,eg: 62271234123412341234,eg: 62271234123412341234,eg: 62271234123412341234,eg: 62271234123412341234
UI_ViPay_PayNow,Pay now,Pay now,ชำระตอนนี้,Pay now,Pay now,Thanh toán ngay bây giờ,Pay now,Pay now,Pay now,Pay now,Pay now
UI_ViPay_ChooseAnother,Choose another payment account,Choose another payment account,เลือกบัญชีการชำระเงินอื่น,Choose another payment account,Choose another payment account,Chọn một tài khoản thanh toán khác,Choose another payment account,Choose another payment account,Choose another payment account,Choose another payment account,Choose another payment account
